City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
281,Key West,US,78.8,broken clouds,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
282,Soure,BR,76.87,overcast clouds,-0.7167,-48.5233,Casarão
287,Taft,IR,79.0,scattered clouds,31.7471,54.2088,بوم گردی حاجی زینل تفت
288,Wanning,CN,82.62,broken clouds,18.8003,110.3967,Paradise Hotel
296,The Valley,AI,77.0,broken clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
299,Aksu,CN,79.32,clear sky,41.1231,80.2644,Pudong Holiday Hotel
300,Catuday,PH,82.17,overcast clouds,16.2923,119.8062,GResort
310,Mareeba,AU,77.0,scattered clouds,-17.0,145.4333,Trinity Plains Tourist Park
321,Cap Malheureux,MU,78.01,light rain,-19.9842,57.6142,Pereybere Hotel & Spa
322,Marzuq,YE,79.75,broken clouds,14.4,46.4667,
325,Tarpon Springs,US,72.0,clear sky,28.1461,-82.7568,"Innisbrook, A Salamander Golf and Spa Resort"
326,Kasongo-Lunda,CD,76.53,light rain,-6.4667,16.8167,
327,Palu,ID,81.28,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
328,Lamar,US,71.01,overcast clouds,33.6668,-95.5836,Kings Inn Paris TX
331,Buenavista,PH,83.25,scattered clouds,8.9769,125.4089,Room For Rent
335,Port Moresby,PG,78.8,moderate rain,-9.4431,147.1797,Lamana Hotel
337,Yumen,CN,70.5,overcast clouds,40.2833,97.2,
339,Road Town,VG,75.2,overcast clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
340,Quatre Cocos,MU,78.8,moderate rain,-20.2078,57.7625,Veranda Palmar Beach Hotel
343,Mount Isa,AU,84.2,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
350,Amahai,ID,83.66,broken clouds,-3.3333,128.9167,HOTEL ISABELA
353,Ballitoville,ZA,78.01,clear sky,-29.539,31.2144,Zimbali Lodge
355,Yabrud,SY,73.4,clear sky,33.9674,36.6574,صالون مها حيدر - Salon Maha
360,Gamboula,CF,75.6,overcast clouds,4.1178,15.1393,
362,Gamba,GA,81.01,overcast clouds,-2.65,10.0,
366,Batouri,CM,76.15,overcast clouds,4.4333,14.3667,Hotel Hollywood
367,Katsuura,JP,71.6,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
368,Isla Mujeres,MX,80.01,few clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
373,Taylor,US,73.99,light rain,32.3001,-99.8337,Elm Creek Bed & Breakfast
377,Nishihara,JP,75.2,broken clouds,26.1842,127.7558,Minshuku Agaihama
381,Bolobo,CD,75.18,overcast clouds,-2.1667,16.2333,Hotel de Stephen
382,Kirya,TZ,76.44,overcast clouds,-3.9167,37.4833,
388,Lazaro Cardenas,MX,76.28,clear sky,17.9583,-102.2,Hotel Quinta Antigua
389,Emirdag,TR,71.6,clear sky,39.0197,31.15,Emirdağ Öğretmenevi
391,Ewa Beach,US,77.0,overcast clouds,21.3156,-158.0072,Uncle Junior Robert
395,Sokoni,TZ,84.2,light rain,-6.4333,39.55,Ujamaa Beach Resort
396,Kiunga,PG,77.85,heavy intensity rain,-6.1219,141.2906,Airport Lodge Kiunga
406,Menongue,AO,77.14,clear sky,-14.6585,17.691,Ritz Lauca
412,Mana,GF,75.33,overcast clouds,5.6592,-53.7767,LE SAMANA
417,Gweta,BW,78.62,overcast clouds,-20.1833,25.2333,Gweta Lodge
418,Gumdag,TM,75.43,few clouds,39.2061,54.5906,
421,Daokou,CN,79.12,broken clouds,35.5639,114.5058,Shangri-La Hotel
424,Palauig,PH,83.34,broken clouds,15.435,119.9045,Myhousebythesea
425,Itarema,BR,74.82,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
428,Santa Isabel Do Rio Negro,BR,71.56,overcast clouds,-0.4139,-65.0192,Hotel GSA
430,Carutapera,BR,75.88,overcast clouds,-1.195,-46.02,Lidera
432,Wamba,NG,84.24,overcast clouds,8.9333,8.6,Roma Zee Guest House Annex
433,Namatanai,PG,80.8,light rain,-3.6667,152.4333,Namatanai Hotel
436,Sao Joao Da Barra,BR,70.36,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
438,Bubaque,GW,78.13,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
440,Arauca,CO,73.4,overcast clouds,7.0847,-70.7591,Hotel Verano Plaza
441,Maturin,VE,71.85,overcast clouds,9.75,-63.1767,Hotel Residencial La Pichincha
444,Sao Miguel Do Araguaia,BR,71.29,few clouds,-13.275,-50.1628,Hotel Executivo Palace
449,Cutler,US,75.99,clear sky,25.6151,-80.3106,Quality Inn Miami South
