City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Hithadhoo,MV,-0.6,73.0833,83.16,64,26,2.21,scattered clouds
80,Quatre Cocos,MU,-20.2078,57.7625,78.8,89,75,18.41,moderate rain
81,Qena,EG,26.1615,32.7183,82.4,28,0,4.61,haze
82,Belyy Yar,RU,53.6039,91.3903,53.6,87,0,6.71,light rain
83,Surgut,RU,61.25,73.4167,51.8,37,0,20.13,clear sky
84,Dabat,ET,12.9842,37.765,67.32,40,15,2.48,few clouds
85,Kanniyakumari,IN,8.0833,77.5667,87.28,68,57,16.96,broken clouds
86,Batemans Bay,AU,-35.7167,150.1833,66.99,77,100,4.47,overcast clouds
87,Cherskiy,RU,68.75,161.3,27.7,85,70,10.0,broken clouds
88,Kannangad,IN,12.3081,75.1063,87.15,70,36,9.75,scattered clouds
89,Puerto Ayora,EC,-0.7393,-90.3518,74.26,93,21,6.29,few clouds
90,West Memphis,US,35.1465,-90.1845,73.4,83,1,8.05,clear sky
91,Vao,NC,-22.6667,167.4833,73.63,57,0,17.38,clear sky
92,Namibe,AO,-15.1961,12.1522,68.0,88,40,6.89,scattered clouds
93,Laguna,US,38.421,-121.4238,59.0,58,1,3.44,clear sky
94,Petropavlovskaya,RU,45.0819,40.4512,57.43,70,90,6.2,overcast clouds
95,Santa Rosa,PH,14.3122,121.1114,93.2,52,20,8.05,few clouds
96,Manggar,ID,-2.8833,108.2667,84.49,69,95,7.14,overcast clouds
97,Omboue,GA,-1.5746,9.2618,80.55,85,100,5.61,overcast clouds
98,Ransang,PH,8.9603,117.5828,84.49,71,47,2.77,scattered clouds
99,Arraial Do Cabo,BR,-22.9661,-42.0278,72.77,76,7,4.79,clear sky
100,Geraldton,AU,-28.7667,114.6,87.8,20,4,12.66,clear sky
101,Kuusamo,FI,65.9667,29.1833,32.0,74,75,2.3,light snow
102,Zolotkovo,RU,55.5281,41.1053,42.3,79,100,9.64,light rain
103,Ust-Tsilma,RU,65.441,52.1498,33.87,79,100,4.83,overcast clouds
104,Camacha,PT,33.0833,-16.3333,62.6,77,20,8.05,few clouds
105,Nikolskoye,RU,59.7035,30.7861,39.0,86,90,6.71,overcast clouds
106,Bud,US,39.447,-86.1758,71.01,75,100,12.77,overcast clouds
107,Norfolk,US,42.1668,-71.2495,50.0,71,100,10.36,moderate rain
108,Wakefield,GB,53.6809,-1.499,46.99,87,99,10.27,overcast clouds
109,Aboisso,CI,5.4678,-3.2071,82.18,84,95,5.03,overcast clouds
110,Cabo San Lucas,MX,22.8909,-109.9124,70.0,73,20,1.99,few clouds
111,Auriflama,BR,-20.6856,-50.5547,54.5,46,0,4.47,clear sky
112,Cortez,US,37.3489,-108.5859,33.8,75,1,7.16,clear sky
113,Port Hedland,AU,-20.3167,118.5667,95.0,16,0,9.22,clear sky
114,Bubaque,GW,11.2833,-15.8333,78.13,60,75,8.9,broken clouds
115,Torbay,CA,47.6666,-52.7314,43.0,87,90,8.05,overcast clouds
116,Mar Del Plata,AR,-38.0023,-57.5575,57.99,87,0,6.91,clear sky
117,Marsh Harbour,BS,26.5412,-77.0636,73.87,62,94,13.98,overcast clouds
118,Half Moon Bay,US,37.4636,-122.4286,55.4,58,1,9.06,clear sky
119,Cape Town,ZA,-33.9258,18.4232,62.01,82,20,12.66,few clouds
120,Esperance,AU,-33.8667,121.9,73.4,56,40,13.8,scattered clouds
121,Mahebourg,MU,-20.4081,57.7,78.8,89,75,18.41,moderate rain
122,Port Elizabeth,ZA,-33.918,25.5701,66.2,77,20,1.14,few clouds
123,Mapimi,MX,25.8167,-103.85,67.96,46,94,5.3,overcast clouds
124,Kologriv,RU,58.8275,44.3178,43.5,58,100,8.9,overcast clouds
125,Fort Nelson,CA,58.8053,-122.7002,14.0,92,75,1.88,broken clouds
126,Jamestown,US,42.097,-79.2353,62.6,55,1,9.22,clear sky
127,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,71.29,80,19,3.27,few clouds
128,Dondo,MZ,-19.6094,34.7431,80.6,83,40,3.91,scattered clouds
129,Kenai,US,60.5544,-151.2583,37.4,75,1,9.22,clear sky
130,Mecca,SA,21.4267,39.8261,97.7,15,1,6.8,clear sky
131,Dehloran,IR,32.6941,47.2679,92.03,15,0,9.66,clear sky
132,Greenville,US,35.6127,-77.3663,64.99,82,1,6.91,clear sky
133,Bathsheba,BB,13.2167,-59.5167,78.8,65,75,13.8,broken clouds
134,Waipawa,NZ,-41.4122,175.5153,51.8,71,2,6.91,clear sky
135,Airai,TL,-8.9266,125.4092,72.59,49,12,1.97,few clouds
136,Chuy,UY,-33.6971,-53.4616,50.09,87,3,6.2,clear sky
